Week,LizardID,Date,StartTime,StartTimeNumeric,TestedWith,CodedBy,Time,TestArena,TempStart_1,TempStart_2,AvgWind,MaxWind,AirTemp,GroudTemp,CloudCover,NumStrikes,AlertPosture,Wince,BackedOff,TopHead,NoRxn,TongueFlick,Gaping,Biting,Hissing,ShelterLatency,Flee_Y/N,FleeRating,FleeLatency,EndDistance,FurthestDistance,Defecation,BodyPosStart,NewAGGRating,PrevAGGRating,Notes
2,2,10/6/2015,7:04,0,GPS and Radio,JK,1,1,21,29.9,1.1,2.2,28.2,12,8,8,0,0,2,1,5,10,0,0,0,51,1,0.75,36.6,110,110,0,Head,6,5,
4,2,10/21/2015,11:36,0,GPS and Radio,Jk,2,2,25.6,25.6,1.2,2.6,26.4,22,9.7,3,0,0,2,0,1,9,0,0,0,32,1,0.75,9,110,110,0,Head,4,5,
6,2,11/4/2015,8:05,0,GPS and Radio,DS,3,2,20.9,29.7,1.6,2.2,21.4,20,9,6,2,0,2,3,1,7,0,0,0,40,1,1,20,110,110,0,Head,4,5,
2,13,10/7/2015,9:12,0,GPS and Radio,JK,1,2,14.4,25,1.7,2.5,12.9,10,9.8,2,0,0,2,0,0,13,0,0,0,31,1,1,10,110,110,0,Head,3,2,
4,13,10/22/2015,8:27,0,GPS and Radio,Jk,2,2,13,25.8,1.5,4.1,15.2,16,2,4,0,0,3,0,1,5,0,0,0,26,1,2,15,110,110,0,Head,4,2,
6,13,11/6/2015,7:16,0,GPS and Radio,DS,3,1,19.1,30,0.7,1,17.9,14,10,6,0,0,1,0,4,17,1,0,0,120,1,0.5,49,110,110,0,Head,2,2,model lizard pushes lizard all the way back to the flee line
1,24,9/28/2015,10:31,0,GPS and Radio,JK&DS,1,2,29,29,0.3,0.4,34.6,32,4.6,3,1,0,1,0,1,26,0,0,1,61,1,1,31,110,110,0,Head,4,5,
3,24,10/13/2015,7:26,0,GPS and Radio,Jk,2,1,14.2,25.6,0.9,1.3,14.4,10,0,7,0,1,2,1,3,11,0,0,0,46,1,1,39,110,110,0,Head,6,5,
5,24,10/27/2015,8:30,0,GPS and Radio,Jk,3,1,26.2,26.2,0.4,0.8,22.1,20,0,10,0,0,0,4,7,4,1,0,9,300,0,0,300,20,40,0,Head,8,5,last two model strikes did not actually touch the lizard
1,102,10/1/2015,7:22,0,GPS and Radio,JK&DS,1,1,15.3,27.3,0.7,0.9,15.5,11,0,9,0,0,2,6,1,0,0,0,0,300,0,0,300,50,50,0,Head,5,9,
3,102,10/16/2015,6:30,0,GPS and Radio,Jk,2,1,23.6,33.2,0.6,0.7,21.1,18,7.5,5,0,1,2,3,0,5,0,0,0,23,1,2,17,110,110,0,Head,4,3,
5,102,10/30/2015,6:45,0,GPS and Radio,Jk,3,2,24,34.8,0.4,0.5,29.1,20,10,5,0,0,0,2,3,6,0,0,0,49,1,0.75,23,110,110,0,Head,5,9,model lizard pushes lizard all the way back to the flee line
4,121,10/21/2015,8:53,0,No gear,Jk,2,1,26.3,25,0.9,1.8,20,27,10,2,1,0,1,0,0,0,0,0,0,16,1,3.5,7,110,110,0,Head,3,11,
6,121,11/4/2015,6:27,0,GPS and Radio,DS,3,2,19.2,28.5,0.6,0.9,20.1,16,10,9,3,0,0,5,3,30,1,0,8,175,1,0.5,54,110,110,0,Head,8,5,model lizard pushes lizard all the way back to the flee line
2,877,10/5/2015,10:49,0,GPS and Radio,JK,1,2,30.5,30.5,1.5,2.2,41,35,2,9,0,2,2,0,0,0,4,5,0,58,1,0.75,45,110,110,0,Head,10,11,
4,877,10/21/2015,11:30,0,GPS and Radio,Jk,2,1,19.4,25.2,0.9,2.1,25.3,20,9,6,2,0,1,2,1,10,2,0,0,31,1,0.75,20,110,110,0,Head,7,11,
6,877,11/4/2015,7:35,0,GPS and Radio,DS,3,2,21.7,29.7,1.7,2.1,19.6,16,6,3,1,0,1,1,0,17,1,0,0,60,1,1,32,110,110,0,Head,6,11,model lizard pushes lizard all the way back to the flee line
2,2408,10/7/2015,8:25,0,GPS and Radio,JK,1,2,14.5,27.6,1.1,1.3,13.2,10,9.7,4,0,1,2,0,0,3,2,0,0,22,1,3,19,110,110,0,Head,8,5,
3,2408,10/14/2015,7:08,0,GPS and Radio,Jk,2,2,11.9,26.2,0.6,0.8,14.2,9,0,3,0,0,3,0,0,7,0,0,0,38,1,0.75,13,110,110,0,Head,3,5,
4,2408,10/22/2015,7:53,0,GPS and Radio,Jk,3,2,14.4,25.8,1.6,2.8,16,12,4,3,0,0,3,0,0,6,0,0,0,27,1,1.5,7,110,110,0,Head,3,9,
4,4247,10/21/2015,10:59,0,GPS and Radio,Jk,2,1,23.6,26.4,2.2,2.6,21.8,20,9.2,3,0,1,1,0,1,1,0,0,1,16,1,2.5,9,110,110,0,Head,3,5,
1,4997,9/29/2015,9:09,0,GPS and Radio,JK&DS,1,1,16.2,30.5,0.5,1.2,18,25,4,3,0,0,3,0,0,18,0,0,0,159,1,0.25,35,110,110,0,Head,5,5,
3,4997,10/14/2015,7:30,0,GPS and Radio,Jk,2,1,14.2,30.8,0.6,0.9,17.9,11,0,4,0,0,1,2,1,20,0,0,0,34,1,1,20,110,110,0,Head,6,5,
5,4997,10/28/2015,7:35,0,GPS and Radio,Jk,3,2,19.4,33.9,0.4,0.8,22.2,14,3,2,0,0,1,0,1,10,0,0,0,22,1,1,9,110,110,0,Head,5,5,
5,7618,10/27/2015,8:50,0,GPS and Radio,Jk,3,2,30.2,30.2,0.7,0.8,28.8,28,0,5,4,0,0,0,1,8,3,0,0,187,1,0.5,163,110,110,0,Head,8,11,strikes pushed lizard to flee line
1,9268,9/29/2015,7:59,0,GPS and Radio,JK&DS,1,2,13,26,1.3,1.5,13.3,10,1,4,3,0,2,0,0,0,2,0,0,33,1,4,29,110,110,0,Head,9,5,gaped couple of times when aproched arfterwards
3,9268,10/14/2015,6:28,0,GPS and Radio,Jk,2,2,12,28.3,0.4,0.6,11.6,5,0,6,1,0,4,0,0,8,3,0,0,57,1,0.5,24,110,110,0,Head,9,5,
5,9268,10/28/2015,10:05,0,GPS and Radio,Jk,3,1,26.7,26.7,0.8,1.2,3.6,40,1.1,7,2,0,3,0,0,1,4,1,0,26,1,3,17,110,110,0,Head,10,11,
1,9331,10/1/2015,8:58,0,GPS and Radio,JK&DS,1,2,16.6,30.3,1.1,1.8,24.8,28,0,10,0,0,2,5,3,13,0,0,0,66,1,1,50,110,110,0,Head,5,3,bleeding on top of head; test was re-done because of camera/pen issues; this data is the re-done test
3,9331,10/16/2015,6:37,0,GPS and Radio,Jk,2,2,22.1,28.3,0.3,0.5,22.6,18,7.5,7,0,0,2,0,5,22,0,0,0,76,1,0.5,23,110,110,0,Head,5,5,
5,9331,10/30/2015,7:15,0,GPS and Radio,Jk,3,1,21.8,27.1,0.3,0.3,25.5,23,5,2,0,0,1,1,0,14,0,0,0,25,1,1,12,110,110,0,Head,3,5,
2,9362,10/8/2015,8:47,0,GPS and Radio,JK,1,2,19.3,33.7,0.3,0.4,20.3,20,3.6,5,0,0,4,2,0,7,0,0,0,65.8,1,0.5,21,110,110,0,Head,7,5,
4,9362,10/22/2015,7:01,0,GPS and Radio,Jk,2,1,15.9,26.5,0.8,1.9,13,9,9.9,10,0,0,1,1,8,0,0,0,0,300,0,0,300,30,30,0,Head,5,5,
6,9362,11/6/2015,8:30,0,GPS and Radio,DS,3,2,23.8,31.1,0.8,1.6,18.8,15,10,6,3,0,1,1,2,6,1,0,0,300,1,0.2,223,100,100,0,Head,6,5,model lizard pushes lizard all the way back to the flee line
1,9363,9/30/2015,8:18,0,GPS and Radio,JK&DS,1,1,14.2,26.5,0.5,0.6,16,14,0,4,0,0,1,1,1,6,1,0,0,42,1,1,29,110,110,0,Head,8,5,
3,9363,10/15/2015,8:21,0,GPS and Radio,Jk,2,1,27.1,27.1,0.7,1.7,28.7,25,8.5,10,0,0,1,3,3,2,4,0,0,300,0,0,50,50,60,0,Head,8,5,
5,9363,10/29/2015,9:00,0,GPS and Radio,Jk,3,1,30.4,30.4,0.5,0.7,27.3,24,1.5,5,0,0,1,0,1,7,3,0,0,30,1,0.75,16,110,110,0,Head,9,5,model lizard pushes lizard all the way back to the flee line
1,9367,9/29/2015,9:27,0,GPS and Radio,JK&DS,1,2,19,26,0.7,1.2,15.7,25,3,6,0,1,3,1,2,12,0,0,0,127,1,0.25,45,110,110,0,Head,5,5,
3,9367,10/14/2015,8:14,0,GPS and Radio,Jk,2,2,14.8,33.6,0.5,0.7,28.2,14,0,8,0,0,2,5,1,9,0,0,0,65,1,0.75,44,110,110,0,Head,5,5,
5,9367,10/28/2015,8:12,0,GPS and Radio,Jk,3,2,26.6,26.6,0.4,0.6,30.1,22,4.4,5,0,0,3,2,1,6,0,0,0,63,1,0.5,17,110,110,0,Head,5,5,strikes pushed lizard to flee line
4,9370,10/20/2015,7:16,0,No gear,Jk,2,2,23.7,33.7,0.3,0.4,24.2,20,9.9,8,0,0,1,7,0,17,0,0,9,46,1,2,39,110,110,0,Head,8,9,
6,9370,11/3/2015,8:37,0,GPS and Radio,DS,3,1,17.9,27.3,0.4,0.6,18.2,15,10,4,0,0,1,2,1,15,0,0,0,33,1,2,17,110,110,0,Head,4,5,
1,9519,9/29/2015,10:39,0,GPS and Radio,JK&DS,1,2,34.3,34.3,0.5,1.3,21.9,22,2,5,4,0,3,1,0,8,0,0,4,190,1,0.25,39,110,110,0,Head,8,5,hissed at end
3,9519,10/14/2015,8:44,0,GPS and Radio,Jk,2,2,19.7,28.5,0.7,1,31.1,22,0,3,0,0,3,0,0,8,0,0,1,37,1,1,19,110,110,0,Head,8,9,
5,9519,10/28/2015,8:44,0,GPS and Radio,Jk,3,2,28.7,28.7,0.4,0.4,28.6,32,4.5,4,0,1,1,2,0,3,0,0,1,25,1,0.75,11,110,110,0,Head,9,1,
1,10029,9/28/2015,11:54,0,GPS and Radio,JK&DS,1,1,28.7,28.7,0.6,0.9,29.3,26,6.8,10,0,0,0,6,3,13,0,0,0,300,1,0.25,227,70,70,0,Head,5,2,
3,10029,10/13/2015,9.24,9,GPS and Radio,Jk,2,1,10.6,26.2,1.4,2.6,19.7,24,0.5,7,0,0,1,5,1,3,0,0,0,55,1,0.5,31,110,110,0,Head,6,5,
5,10029,10/27/2015,7:26,0,GPS and Radio,Jk,3,2,16.5,27.2,1.6,2.8,13.2,10,0,10,0,0,0,4,7,12,0,0,0,300,0,0,300,-10,30,0,Head,6,5,
2,10167,10/8/2015,9:15,0,GPS and Radio,JK,1,1,22.6,33,0.6,1,27.9,28,2.5,6,0,2,3,2,1,12,0,0,0,46.4,1,0.75,34,110,110,0,Head,6,9,
1,10557,9/28/2015,11:08,0,GPS and Radio,JK&DS,1,1,21.7,26,2,3.9,25.6,27,7,3,0,1,1,3,0,17,0,0,0,56,1,1,29,110,110,0,Head,5,9,
3,10557,10/13/2015,6:41,0,GPS and Radio,Jk,2,1,12,26.9,0.7,0.8,10.9,7,0,10,0,0,0,0,10,11,0,0,0,300,0,0,300,-30,-30,0,Head,5,5,
5,10557,10/28/2015,9:16,0,GPS and Radio,Jk,3,1,21.2,28.1,0.4,1,28.4,25,4,10,0,0,1,4,4,55,1,0,0,129,1,1,122,110,110,0,Head,6,5,
1,11197,9/28/2015,12:08,1,GPS and Radio,JK&DS,1,2,29.4,29.4,0.7,0.8,33.5,29,5.8,3,2,3,3,0,0,16,0,0,0,68,1,0.5,31,110,110,0,Head,1,3,
3,11197,10/13/2015,8:18,0,GPS and Radio,Jk,2,1,10.5,28.2,0.3,0.4,16.6,15,0,2,0,1,2,0,0,16,0,0,0,68,1,0.5,9,110,110,0,Head,2,9,
5,11197,10/27/2015,9:31,0,GPS and Radio,Jk,3,2,29.3,29.3,0.4,1.7,24.8,30,0,3,1,0,3,0,0,3,0,0,0,40,1,0.5,13,110,110,0,Head,4,5,
